TIC: OP17760.D								
								
#	rettime	type	width	area	start	end	start milli	end milli
1	0.519	BB  	0.053	322626410	0.463	1.086	27780	65160
2	1.666	BV  	0.226	41821014	1.162	1.75	69720	105000
3	1.942	VV  	0.34	86882684	1.75	2.806	105000	168360
4	4.473	BV  	0.229	17562091	4.172	4.777	250320	286620
5	4.964	VB  	0.3	19126916	4.777	5.709	286620	342540
6	8.188	VB  	0.128	228162040	8.014	9.009	480840	540540
7	11.241	BV  	0.078	9547883	10.794	11.421	647640	685260
8	11.5	PV  	0.079	5246325	11.421	11.707	685260	702420
9	13.435	VV  	0.071	5250685	13.37	13.567	802200	814020
10	13.928	VV  	0.084	6826489	13.773	14.002	826380	840120
11	14.118	VV  	0.074	8266731	14.002	14.229	840120	853740
12	14.763	PV  	0.061	6627549	14.603	14.849	876180	890940
13	15.021	VV  	0.067	7281546	14.948	15.141	896880	908460
14	15.446	BV  	0.05	3149811	15.319	15.527	919140	931620
15	17.608	BV  	0.043	4139238	17.523	17.667	1051380	1060020
16	17.822	VV  	0.044	6162690	17.759	17.89	1065540	1073400
17	18.061	BV  	0.063	2403466	18.007	18.138	1080420	1088280
18	20.48	VV  	0.074	2372763	20.426	20.551	1225560	1233060
19	20.684	VV  	0.064	4148753	20.63	20.855	1237800	1251300
20	20.901	VV  	0.043	1764952	20.855	20.961	1251300	1257660
21	23.368	PV  	0.036	2560220	23.22	23.419	1393200	1405140
22	25.719	PV  	0.094	16731057	25.655	25.842	1539300	1550520
23	25.895	VV  	0.094	16490837	25.842	26.037	1550520	1562220
24	26.079	VV  	0.099	12758629	26.037	26.319	1562220	1579140
25	26.533	VV  	0.056	2583428	26.489	26.585	1589340	1595100
26	26.761	VV  	0.055	2455664	26.704	26.843	1602240	1610580
27	28.117	VV  	0.046	4129608	28.066	28.177	1683960	1690620
28	28.292	VV  	0.075	6674368	28.177	28.35	1690620	1701000
29	28.449	VV  	0.082	6240845	28.35	28.541	1701000	1712460
30	28.722	VV  	0.057	2682856	28.655	28.772	1719300	1726320
31	29.141	VV  	0.057	2880227	29.087	29.186	1745220	1751160
32	29.24	VV  	0.079	4356731	29.186	29.323	1751160	1759380
33	29.548	VV  	0.058	5006036	29.44	29.605	1766400	1776300
34	29.843	VV  	0.069	3337836	29.784	29.974	1787040	1798440
35	30.401	VV  	0.06	2858515	30.308	30.479	1818480	1828740
36	30.579	PV  	0.092	6171246	30.479	30.67	1828740	1840200
37	31.291	PV  	0.048	3539928	31.217	31.358	1873020	1881480
38	32.708	VV  	0.046	2826904	32.648	32.781	1958880	1966860
39	34.763	PV  	0.051	2777964	34.694	34.829	2081640	2089740
40	34.892	VV  	0.077	5181302	34.829	35.047	2089740	2102820
41	36.592	BV  	0.061	3169060	36.443	36.659	2186580	2199540
42	36.721	VV  	0.052	3359259	36.659	36.782	2199540	2206920
43	36.832	VV  	0.048	2131284	36.782	36.911	2206920	2214660
44	38.593	VV  	0.064	3624956	38.531	38.649	2311860	2318940
45	39.372	VV  	0.065	4229096	39.306	39.424	2358360	2365440
46	39.838	VV  	0.087	5421659	39.772	39.891	2386320	2393460
47	39.935	VV  	0.062	3793513	39.891	39.965	2393460	2397900
48	40.003	VV  	0.096	8231338	39.965	40.127	2397900	2407620
49	40.327	VV  	0.137	17201878	40.127	40.417	2407620	2425020
50	40.474	VV  	0.077	21956139	40.417	40.593	2425020	2435580
51	40.653	VV  	0.086	7649751	40.593	40.732	2435580	2443920
52	40.895	VV  	0.065	16540279	40.826	40.938	2449560	2456280
53	40.968	VV  	0.061	10573400	40.938	41.03	2456280	2461800
54	41.311	VV  	0.12	13056617	41.15	41.366	2469000	2481960
55	41.522	VV  	0.088	21184359	41.449	41.669	2486940	2500140
56	41.867	VV  	0.084	10513805	41.817	41.981	2509020	2518860
57	42.095	VV  	0.107	7406357	41.981	42.14	2518860	2528400
58	42.872	VV  	0.057	4412656	42.785	42.944	2567100	2576640
59	44.641	BB  	0.077	41735167	44.527	44.839	2671620	2690340
60	46.873	PV  	0.106	2492259	46.541	47.01	2792460	2820600
61	48.336	VV  	0.113	7064943	48.081	48.361	2884860	2901660
62	48.395	VV  	0.103	8239387	48.361	48.547	2901660	2912820
63	48.659	VV  	0.11	5533245	48.547	48.687	2912820	2921220
64	48.819	VV  	0.158	13151862	48.687	48.92	2921220	2935200
65	48.964	VV  	0.097	8081781	48.92	49.041	2935200	2942460
66	49.097	VV  	0.096	8423940	49.041	49.176	2942460	2950560
67	49.272	VV  	0.101	8637410	49.176	49.299	2950560	2957940
68	49.341	VV  	0.072	6791488	49.299	49.38	2957940	2962800
69	49.473	VV  	0.141	18311229	49.38	49.581	2962800	2974860
70	49.669	VV  	0.098	11558678	49.581	49.71	2974860	2982600
71	49.759	VV  	0.113	15661525	49.71	49.859	2982600	2991540
72	49.894	VV  	0.079	9618737	49.859	49.95	2991540	2997000
73	50.024	VV  	0.08	16838916	49.95	50.073	2997000	3004380
74	50.117	VV  	0.076	14517271	50.073	50.179	3004380	3010740
75	50.348	VV  	0.112	15105886	50.261	50.401	3015660	3024060
76	50.551	VV  	0.096	27840512	50.484	50.687	3029040	3041220
77	50.982	VV  	0.106	31190889	50.844	51.065	3050640	3063900
78	51.162	VV  	0.088	19826545	51.065	51.227	3063900	3073620
79	51.382	VV  	0.12	24940020	51.227	51.435	3073620	3086100
80	51.488	VV  	0.069	14102448	51.435	51.53	3086100	3091800
81	51.556	VV  	0.075	12306530	51.53	51.677	3091800	3100620
82	51.795	VV  	0.086	14289664	51.677	51.912	3100620	3114720
83	52.427	VV  	0.108	7565426	52.327	52.514	3139620	3150840
84	52.886	VV  	0.073	4049632	52.723	52.96	3163380	3177600
85	54.982	PV  	0.105	2538140	54.578	55.128	3274680	3307680
86	55.332	PV  	0.131	3272077	55.128	55.469	3307680	3328140
87	55.772	PV  	0.084	2122341	55.469	55.811	3328140	3348660
88	55.909	VV  	0.118	6170245	55.811	56.027	3348660	3361620
89	56.198	VV  	0.157	7307829	56.027	56.331	3361620	3379860
90	56.541	VV  	0.165	11700984	56.331	56.669	3379860	3400140
91	56.732	VV  	0.076	2596455	56.669	56.787	3400140	3407220
92	56.936	VV  	0.11	6537457	56.787	56.997	3407220	3419820
93	57.153	VV  	0.133	16559348	56.997	57.22	3419820	3433200
94	57.263	VV  	0.072	6313428	57.22	57.306	3433200	3438360
95	57.357	VV  	0.117	13332570	57.306	57.526	3438360	3451560
96	57.558	VV  	0.07	3310379	57.526	57.606	3451560	3456360
97	57.684	VV  	0.159	10169213	57.606	57.846	3456360	3470760
98	58.005	VV  	0.095	5527675	57.936	58.072	3476160	3484320
99	58.318	VV  	0.169	19969434	58.072	58.416	3484320	3504960
100	58.47	VV  	0.119	9282233	58.416	58.62	3504960	3517200
101	59.091	VV  	0.09	4404664	58.911	59.194	3534660	3551640
102	60.136	VV  	0.109	4795414	60.071	60.309	3604260	3618540
